Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireHangfire.ApiService\AspireHangfire.ApiService.csproj,File,AspireHangfire.ApiService\AspireHangfire.ApiService.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.12,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireHangfire.ApiService\AspireHangfire.ApiService.csproj,File,AspireHangfire.ApiService\AspireHangfire.ApiService.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AspireHangfire.ApiService\AspireHangfire.ApiService.csproj,File,AspireHangfire.ApiService\Program.cs,14,0,M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseExceptionHandler();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireHangfire.AppHost\AspireHangfire.AppHost.csproj,File,AspireHangfire.AppHost\AspireHangfire.AppHost.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireHangfire.HangfireWorker\AspireHangfire.HangfireWorker.csproj,File,AspireHangfire.HangfireWorker\AspireHangfire.HangfireWorker.csproj,,,Microsoft.Extensions.Hosting 9.0.12,,,,,"Microsoft.Extensions.Hosting, 9.0.12  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireHangfire.HangfireWorker\AspireHangfire.HangfireWorker.csproj,File,AspireHangfire.HangfireWorker\AspireHangfire.HangfireWorker.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireHangfire.JobLibrary\AspireHangfire.JobLibrary.csproj,File,AspireHangfire.JobLibrary\AspireHangfire.JobLibrary.csproj,,,Microsoft.Extensions.Logging.Abstractions 9.0.12,,,,,"Microsoft.Extensions.Logging.Abstractions, 9.0.12  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireHangfire.JobLibrary\AspireHangfire.JobLibrary.csproj,File,AspireHangfire.JobLibrary\AspireHangfire.JobLibrary.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireHangfire.ServiceDefaults\AspireHangfire.ServiceDefaults.csproj,File,AspireHangfire.ServiceDefaults\AspireHangfire.ServiceDefaults.csproj,,,Microsoft.Extensions.Http.Resilience 9.9.0,,,,,"Microsoft.Extensions.Http.Resilience, 9.9.0  Recommendation:  Remove Microsoft.Extensions.Http.Resilience, and replace with new package Microsoft.Extensions.Http.Resilience 10.2.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireHangfire.ServiceDefaults\AspireHangfire.ServiceDefaults.csproj,File,AspireHangfire.ServiceDefaults\AspireHangfire.ServiceDefaults.csproj,,,Microsoft.Extensions.ServiceDiscovery 9.5.2,,,,,"Microsoft.Extensions.ServiceDiscovery, 9.5.2  Recommendation:  Remove Microsoft.Extensions.ServiceDiscovery, and replace with new package Microsoft.Extensions.ServiceDiscovery 10.2.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireHangfire.ServiceDefaults\AspireHangfire.ServiceDefaults.csproj,File,AspireHangfire.ServiceDefaults\AspireHangfire.ServiceDefaults.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireHangfire.Web\AspireHangfire.Web.csproj,File,AspireHangfire.Web\AspireHangfire.Web.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AspireHangfire.Web\AspireHangfire.Web.csproj,File,AspireHangfire.Web\Program.cs,42,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String,System.Boolean)",,,,,"app.UseExceptionHandler(""/Error"", createScopeForErrors: true);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AspireHangfire.Web\AspireHangfire.Web.csproj,File,AspireHangfire.Web\Program.cs,24,8,T:System.Uri,,,,,"client.BaseAddress = new(""https+http://apiservice"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AspireHangfire.Web\AspireHangfire.Web.csproj,File,AspireHangfire.Web\Program.cs,24,8,M:System.Uri.#ctor(System.String),,,,,"client.BaseAddress = new(""https+http://apiservice"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AspireHangfire.Web\AspireHangfire.Web.csproj,File,AspireHangfire.Web\Program.cs,24,8,T:System.Uri,,,,,"client.BaseAddress = new(""https+http://apiservice"");"
